region,vaccine,year,coverage
Global,DTP1,2011,90
Global,DTP3,2011,84
Global,HEPB3,2011,74
Global,HEPBB,2011,28
Global,HIB3,2011,43
Global,MCV1,2011,84
Global,MCV2,2011,48
Global,PCV3,2011,15
Global,POL3,2011,83
Global,RCV1,2011,37
Global,ROTAC,2011,9
Global,YFV,2011,35
Global,BCG,2012,89
Global,DTP1,2012,89
Global,DTP3,2012,84
Global,HEPB3,2012,80
Global,HEPBB,2012,32
Global,HIB3,2012,45
Global,MCV1,2012,84
Global,MCV2,2012,52
Global,PCV3,2012,19
Global,POL3,2012,84
Global,RCV1,2012,39
Global,ROTAC,2012,11
Global,YFV,2012,36
Global,BCG,2013,89
Global,DTP1,2013,89
Global,DTP3,2013,84
Global,HEPB3,2013,79
Global,HEPBB,2013,35
Global,HIB3,2013,50
Global,MCV1,2013,84
Global,MCV2,2013,56
Global,PCV3,2013,26
Global,POL3,2013,84
Global,RCV1,2013,42
Global,ROTAC,2013,14
Global,YFV,2013,39
Global,BCG,2014,88
Global,DTP1,2014,89
Global,DTP3,2014,84
Global,HEPB3,2014,81
Global,HEPBB,2014,35
Global,HIB3,2014,55
Global,MCV1,2014,84
Global,MCV2,2014,59
Global,PCV3,2014,32
Global,POL3,2014,84
Global,RCV1,2014,44
Global,ROTAC,2014,18
Global,YFV,2014,40
Global,BCG,2015,87
Global,DTP1,2015,89
Global,DTP3,2015,85
Global,HEPB3,2015,83
Global,HEPBB,2015,36
Global,HIB3,2015,63
Global,IPV1,2015,23
Global,MCV1,2015,84
Global,MCV2,2015,63
Global,PCV3,2015,38
Global,POL3,2015,85
Global,RCV1,2015,46
Global,ROTAC,2015,22
Global,YFV,2015,41
Global,BCG,2016,89
Global,DTP1,2016,90
Global,DTP3,2016,86
Global,HEPB3,2016,84
Global,HEPBB,2016,37
Global,HIB3,2016,70
Global,IPV1,2016,47
Global,MCV1,2016,85
Global,MCV2,2016,67
Global,MENGA,2016,2
Global,PCV3,2016,41
Global,POL3,2016,85
Global,RCV1,2016,47
Global,ROTAC,2016,24
Global,YFV,2016,41
Global,BCG,2017,90
Global,DTP1,2017,90
Global,DTP3,2017,86
Global,HEPB3,2017,84
Global,HEPBB,2017,41
Global,HIB3,2017,71
Global,IPV1,2017,58
Global,MCV1,2017,85
Global,MCV2,2017,68
Global,MENGA,2017,10
Global,PCV3,2017,45
Global,POL3,2017,86
Global,RCV1,2017,51
Global,ROTAC,2017,27
Global,YFV,2017,43
Global,BCG,2018,90
Global,DTP1,2018,90
Global,DTP3,2018,86
Global,HEPB3,2018,84
Global,HEPBB,2018,42
Global,HIB3,2018,73
Global,IPV1,2018,72
Global,MCV1,2018,86
Global,MCV2,2018,70
Global,MENGA,2018,15
Global,PCV3,2018,48
Global,POL3,2018,86
Global,RCV1,2018,68
Global,ROTAC,2018,35
Global,YFV,2018,46
Global,BCG,2019,89
Global,DTP1,2019,90
Global,DTP3,2019,86
Global,HEPB3,2019,86
Global,HEPBB,2019,43
Global,HIB3,2019,74
Global,IPV1,2019,83
Global,MCV1,2019,86
Global,MCV2,2019,71
Global,MENGA,2019,21
Global,PCV3,2019,51
Global,POL3,2019,86
Global,RCV1,2019,69
Global,ROTAC,2019,40
Global,YFV,2019,47
Global,BCG,2020,86
Global,DTP1,2020,88
Global,DTP3,2020,83
Global,HEPB3,2020,83
Global,HEPBB,2020,42
Global,HIB3,2020,73
Global,IPV1,2020,80
Global,MCV1,2020,83
Global,MCV2,2020,71
Global,MENGA,2020,28
Global,PCV3,2020,52
Global,POL3,2020,83
Global,RCV1,2020,68
Global,ROTAC,2020,48
Global,YFV,2020,45
Global,BCG,2021,85
Global,DTP1,2021,86
Global,DTP3,2021,81
Global,HEPB3,2021,81
Global,HEPBB,2021,41
Global,HIB3,2021,72
Global,IPV1,2021,80
Global,IPV2,2021,24
Global,MCV1,2021,81
Global,MCV2,2021,71
Global,MENGA,2021,28
Global,PCV3,2021,52
Global,POL3,2021,81
Global,RCV1,2021,66
Global,ROTAC,2021,49
Global,YFV,2021,47
Global,BCG,2022,88
Global,DTP1,2022,89
Global,DTP3,2022,84
Global,HEPB3,2022,84
Global,HEPBB,2022,43
Global,HIB3,2022,77
Global,IPV1,2022,84
Global,IPV2,2022,35
Global,MCV1,2022,83
Global,MCV2,2022,73
Global,MENGA,2022,29
Global,PCV3,2022,61
Global,POL3,2022,84
Global,RCV1,2022,72
Global,ROTAC,2022,52
Global,YFV,2022,46
Global,BCG,2023,87
Global,DTP1,2023,89
Global,DTP3,2023,84
Global,HEPB3,2023,83
Global,HEPBB,2023,45
Global,HIB3,2023,77
Global,IPV1,2023,83
Global,IPV2,2023,42
Global,MCV1,2023,83
Global,MCV2,2023,74
Global,MENGA,2023,29
Global,PCV3,2023,65
Global,POL3,2023,83
Global,RCV1,2023,71
Global,ROTAC,2023,55
Global,YFV,2023,50
EAPR,BCG,2000,85
EAPR,DTP1,2000,92
EAPR,DTP3,2000,83
EAPR,HEPB3,2000,53
EAPR,HEPBB,2000,2
EAPR,HIB3,2000,0
EAPR,MCV1,2000,83
EAPR,MCV2,2000,5
EAPR,POL3,2000,84
EAPR,RCV1,2000,7
EAPR,BCG,2001,85
EAPR,DTP1,2001,91
EAPR,DTP3,2001,84
EAPR,HEPB3,2001,58
EAPR,HEPBB,2001,2
EAPR,HIB3,2001,0
EAPR,MCV1,2001,84
EAPR,MCV2,2001,5
EAPR,POL3,2001,84
EAPR,RCV1,2001,7
EAPR,BCG,2002,86
EAPR,DTP1,2002,90
EAPR,DTP3,2002,82
EAPR,HEPB3,2002,60
EAPR,HEPBB,2002,2
EAPR,HIB3,2002,0
EAPR,MCV1,2002,83
EAPR,MCV2,2002,6
EAPR,POL3,2002,85
EAPR,RCV1,2002,7
EAPR,BCG,2003,86
EAPR,DTP1,2003,92
EAPR,DTP3,2003,84
EAPR,HEPB3,2003,69
EAPR,HEPBB,2003,2
EAPR,HIB3,2003,0
EAPR,MCV1,2003,84
EAPR,MCV2,2003,9
EAPR,POL3,2003,86
EAPR,RCV1,2003,6
EAPR,BCG,2004,88
EAPR,DTP1,2004,92
EAPR,DTP3,2004,85
EAPR,HEPB3,2004,73
EAPR,HEPBB,2004,46
EAPR,HIB3,2004,1
EAPR,MCV1,2004,86
EAPR,MCV2,2004,10
EAPR,POL3,2004,86
EAPR,RCV1,2004,6
EAPR,BCG,2005,87
EAPR,DTP1,2005,92
EAPR,DTP3,2005,85
EAPR,HEPB3,2005,77
EAPR,HEPBB,2005,52
EAPR,HIB3,2005,2
EAPR,MCV1,2005,86
EAPR,MCV2,2005,58
EAPR,POL3,2005,87
EAPR,RCV1,2005,6
EAPR,BCG,2006,91
EAPR,DTP1,2006,95
EAPR,DTP3,2006,89
EAPR,HEPB3,2006,85
EAPR,HEPBB,2006,53
EAPR,HIB3,2006,2
EAPR,MCV1,2006,90
EAPR,MCV2,2006,68
EAPR,POL3,2006,90
EAPR,RCV1,2006,6
EAPR,ROTAC,2006,0
EAPR,BCG,2007,92
EAPR,DTP1,2007,95
EAPR,DTP3,2007,89
EAPR,HEPB3,2007,87
EAPR,HEPBB,2007,54
EAPR,HIB3,2007,2
EAPR,MCV1,2007,89
EAPR,MCV2,2007,72
EAPR,POL3,2007,90
EAPR,RCV1,2007,6
EAPR,ROTAC,2007,0
EAPR,BCG,2008,93
EAPR,DTP1,2008,96
EAPR,DTP3,2008,92
EAPR,HEPB3,2008,91
EAPR,HEPBB,2008,59
EAPR,HIB3,2008,2
EAPR,MCV1,2008,92
EAPR,MCV2,2008,79
EAPR,PCV3,2008,0
EAPR,POL3,2008,94
EAPR,RCV1,2008,6
EAPR,ROTAC,2008,0
EAPR,BCG,2009,94
EAPR,DTP1,2009,96
EAPR,DTP3,2009,94
EAPR,HEPB3,2009,94
EAPR,HEPBB,2009,62
EAPR,HIB3,2009,2
EAPR,MCV1,2009,93
EAPR,MCV2,2009,83
EAPR,PCV3,2009,0
EAPR,POL3,2009,95
EAPR,RCV1,2009,6
EAPR,ROTAC,2009,0
EAPR,BCG,2010,96
EAPR,DTP1,2010,96
EAPR,DTP3,2010,94
EAPR,HEPB3,2010,94
EAPR,HEPBB,2010,61
EAPR,HIB3,2010,7
EAPR,MCV1,2010,94
EAPR,MCV2,2010,84
EAPR,PCV3,2010,0
EAPR,POL3,2010,94
EAPR,RCV1,2010,49
EAPR,ROTAC,2010,0
EAPR,BCG,2011,98
EAPR,DTP1,2011,96
EAPR,DTP3,2011,94
EAPR,HEPB3,2011,93
EAPR,HEPBB,2011,64
EAPR,HIB3,2011,10
EAPR,MCV1,2011,94
EAPR,MCV2,2011,86
EAPR,PCV3,2011,0
EAPR,POL3,2011,94
EAPR,RCV1,2011,63
EAPR,ROTAC,2011,0
EAPR,BCG,2012,96
EAPR,DTP1,2012,97
EAPR,DTP3,2012,95
EAPR,HEPB3,2012,94
EAPR,HEPBB,2012,67
EAPR,HIB3,2012,16
EAPR,MCV1,2012,94
EAPR,MCV2,2012,87
EAPR,PCV3,2012,0
EAPR,POL3,2012,95
EAPR,RCV1,2012,69
EAPR,ROTAC,2012,0
EAPR,BCG,2013,96
EAPR,DTP1,2013,96
EAPR,DTP3,2013,93
EAPR,HEPB3,2013,93
EAPR,HEPBB,2013,67
EAPR,HIB3,2013,18
EAPR,MCV1,2013,95
EAPR,MCV2,2013,88
EAPR,PCV3,2013,0
EAPR,POL3,2013,95
EAPR,RCV1,2013,70
EAPR,ROTAC,2013,2
EAPR,BCG,2014,96
EAPR,DTP1,2014,96
EAPR,DTP3,2014,95
EAPR,HEPB3,2014,95
EAPR,HEPBB,2014,67
EAPR,HIB3,2014,25
EAPR,MCV1,2014,95
EAPR,MCV2,2014,82
EAPR,PCV3,2014,3
EAPR,POL3,2014,95
EAPR,RCV1,2014,71
EAPR,ROTAC,2014,0
EAPR,BCG,2015,96
EAPR,DTP1,2015,96
EAPR,DTP3,2015,94
EAPR,HEPB3,2015,94
EAPR,HEPBB,2015,69
EAPR,HIB3,2015,34
EAPR,IPV1,2015,4
EAPR,MCV1,2015,94
EAPR,MCV2,2015,82
EAPR,PCV3,2015,5
EAPR,POL3,2015,94
EAPR,RCV1,2015,77
EAPR,ROTAC,2015,0
EAPR,BCG,2016,96
EAPR,DTP1,2016,96
EAPR,DTP3,2016,94
EAPR,HEPB3,2016,94
EAPR,HEPBB,2016,70
EAPR,HIB3,2016,33
EAPR,IPV1,2016,20
EAPR,MCV1,2016,95
EAPR,MCV2,2016,87
EAPR,PCV3,2016,7
EAPR,POL3,2016,94
EAPR,RCV1,2016,80
EAPR,ROTAC,2016,0
EAPR,BCG,2017,97
EAPR,DTP1,2017,96
EAPR,DTP3,2017,94
EAPR,HEPB3,2017,94
EAPR,HEPBB,2017,78
EAPR,HIB3,2017,33
EAPR,IPV1,2017,77
EAPR,MCV1,2017,95
EAPR,MCV2,2017,88
EAPR,PCV3,2017,9
EAPR,POL3,2017,95
EAPR,RCV1,2017,82
EAPR,ROTAC,2017,0
EAPR,BCG,2018,96
EAPR,DTP1,2018,95
EAPR,DTP3,2018,93
EAPR,HEPB3,2018,93
EAPR,HEPBB,2018,80
EAPR,HIB3,2018,35
EAPR,IPV1,2018,83
EAPR,MCV1,2018,95
EAPR,MCV2,2018,89
EAPR,PCV3,2018,10
EAPR,POL3,2018,94
EAPR,RCV1,2018,85
EAPR,ROTAC,2018,0
EAPR,BCG,2019,95
EAPR,DTP1,2019,95
EAPR,DTP3,2019,94
EAPR,HEPB3,2019,93
EAPR,HEPBB,2019,86
EAPR,HIB3,2019,36
EAPR,IPV1,2019,90
EAPR,MCV1,2019,94
EAPR,MCV2,2019,89
EAPR,PCV3,2019,12
EAPR,POL3,2019,94
EAPR,RCV1,2019,93
EAPR,ROTAC,2019,0
EAPR,BCG,2020,94
EAPR,DTP1,2020,94
EAPR,DTP3,2020,91
EAPR,HEPB3,2020,91
EAPR,HEPBB,2020,82
EAPR,HIB3,2020,40
EAPR,IPV1,2020,82
EAPR,MCV1,2020,91
EAPR,MCV2,2020,88
EAPR,PCV3,2020,14
EAPR,POL3,2020,90
EAPR,RCV1,2020,91
EAPR,ROTAC,2020,2
EAPR,BCG,2021,89
EAPR,DTP1,2021,86
EAPR,DTP3,2021,84
EAPR,HEPB3,2021,84
EAPR,HEPBB,2021,79
EAPR,HIB3,2021,36
EAPR,IPV1,2021,83
EAPR,IPV2,2021,50
EAPR,MCV1,2021,86
EAPR,MCV2,2021,83
EAPR,PCV3,2021,13
EAPR,POL3,2021,83
EAPR,RCV1,2021,86
EAPR,ROTAC,2021,4
EAPR,BCG,2022,94
EAPR,DTP1,2022,93
EAPR,DTP3,2022,91
EAPR,HEPB3,2022,91
EAPR,HEPBB,2022,82
EAPR,HIB3,2022,45
EAPR,IPV1,2022,89
EAPR,IPV2,2022,57
EAPR,MCV1,2022,92
EAPR,MCV2,2022,85
EAPR,PCV3,2022,17
EAPR,POL3,2022,90
EAPR,RCV1,2022,91
EAPR,ROTAC,2022,5
EAPR,BCG,2023,93
EAPR,DTP1,2023,91
EAPR,DTP3,2023,87
EAPR,HEPB3,2023,87
EAPR,HEPBB,2023,82
EAPR,HIB3,2023,44
EAPR,IPV1,2023,86
EAPR,IPV2,2023,67
EAPR,MCV1,2023,88
EAPR,MCV2,2023,82
EAPR,PCV3,2023,25
EAPR,POL3,2023,86
EAPR,RCV1,2023,88
EAPR,ROTAC,2023,8
ECAR,BCG,2000,96
ECAR,DTP1,2000,95
ECAR,DTP3,2000,93
ECAR,HEPB3,2000,36
ECAR,HEPBB,2000,14
ECAR,HIB3,2000,2
ECAR,MCV1,2000,93
ECAR,MCV2,2000,62
ECAR,POL3,2000,93
ECAR,RCV1,2000,32
ECAR,BCG,2001,96
ECAR,DTP1,2001,96
ECAR,DTP3,2001,93
ECAR,HEPB3,2001,49
ECAR,HEPBB,2001,18
ECAR,HIB3,2001,2
ECAR,MCV1,2001,94
ECAR,MCV2,2001,87
ECAR,POL3,2001,94
ECAR,RCV1,2001,43
ECAR,BCG,2002,95
ECAR,DTP1,2002,93
ECAR,DTP3,2002,91
ECAR,HEPB3,2002,72
ECAR,HEPBB,2002,37
ECAR,HIB3,2002,2
ECAR,MCV1,2002,92
ECAR,MCV2,2002,88
ECAR,POL3,2002,92
ECAR,RCV1,2002,50
ECAR,BCG,2003,95
ECAR,DTP1,2003,92
ECAR,DTP3,2003,88
ECAR,HEPB3,2003,81
ECAR,HEPBB,2003,57
ECAR,HIB3,2003,2
ECAR,MCV1,2003,91
ECAR,MCV2,2003,93
ECAR,POL3,2003,88
ECAR,RCV1,2003,53
ECAR,BCG,2004,92
ECAR,DTP1,2004,94
ECAR,DTP3,2004,92
ECAR,HEPB3,2004,89
ECAR,HEPBB,2004,63
ECAR,HIB3,2004,3
ECAR,MCV1,2004,93
ECAR,MCV2,2004,94
ECAR,POL3,2004,93
ECAR,RCV1,2004,59
ECAR,BCG,2005,92
ECAR,DTP1,2005,96
ECAR,DTP3,2005,95
ECAR,HEPB3,2005,91
ECAR,HEPBB,2005,67
ECAR,HIB3,2005,3
ECAR,MCV1,2005,95
ECAR,MCV2,2005,92
ECAR,POL3,2005,95
ECAR,RCV1,2005,59
ECAR,BCG,2006,95
ECAR,DTP1,2006,96
ECAR,DTP3,2006,94
ECAR,HEPB3,2006,91
ECAR,HEPBB,2006,67
ECAR,HIB3,2006,5
ECAR,MCV1,2006,96
ECAR,MCV2,2006,87
ECAR,POL3,2006,94
ECAR,RCV1,2006,91
ECAR,ROTAC,2006,0
ECAR,BCG,2007,96
ECAR,DTP1,2007,98
ECAR,DTP3,2007,96
ECAR,HEPB3,2007,95
ECAR,HEPBB,2007,65
ECAR,HIB3,2007,25
ECAR,MCV1,2007,97
ECAR,MCV2,2007,90
ECAR,POL3,2007,96
ECAR,RCV1,2007,94
ECAR,ROTAC,2007,0
ECAR,BCG,2008,96
ECAR,DTP1,2008,97
ECAR,DTP3,2008,96
ECAR,HEPB3,2008,93
ECAR,HEPBB,2008,64
ECAR,HIB3,2008,36
ECAR,MCV1,2008,97
ECAR,MCV2,2008,87
ECAR,PCV3,2008,0
ECAR,POL3,2008,96
ECAR,RCV1,2008,94
ECAR,ROTAC,2008,0
ECAR,BCG,2009,96
ECAR,DTP1,2009,95
ECAR,DTP3,2009,94
ECAR,HEPB3,2009,93
ECAR,HEPBB,2009,64
ECAR,HIB3,2009,50
ECAR,MCV1,2009,95
ECAR,MCV2,2009,83
ECAR,PCV3,2009,20
ECAR,POL3,2009,95
ECAR,RCV1,2009,95
ECAR,ROTAC,2009,0
ECAR,BCG,2010,97
ECAR,DTP1,2010,94
ECAR,DTP3,2010,93
ECAR,HEPB3,2010,92
ECAR,HEPBB,2010,58
ECAR,HIB3,2010,55
ECAR,MCV1,2010,94
ECAR,MCV2,2010,86
ECAR,PCV3,2010,20
ECAR,POL3,2010,93
ECAR,RCV1,2010,94
ECAR,ROTAC,2010,0
ECAR,BCG,2011,96
ECAR,DTP1,2011,94
ECAR,DTP3,2011,93
ECAR,HEPB3,2011,90
ECAR,HEPBB,2011,62
ECAR,HIB3,2011,58
ECAR,MCV1,2011,95
ECAR,MCV2,2011,90
ECAR,PCV3,2011,21
ECAR,POL3,2011,93
ECAR,RCV1,2011,95
ECAR,ROTAC,2011,0
ECAR,BCG,2012,97
ECAR,DTP1,2012,95
ECAR,DTP3,2012,95
ECAR,HEPB3,2012,92
ECAR,HEPBB,2012,62
ECAR,HIB3,2012,64
ECAR,MCV1,2012,95
ECAR,MCV2,2012,90
ECAR,PCV3,2012,24
ECAR,POL3,2012,95
ECAR,RCV1,2012,95
ECAR,ROTAC,2012,0
ECAR,BCG,2013,97
ECAR,DTP1,2013,96
ECAR,DTP3,2013,95
ECAR,HEPB3,2013,93
ECAR,HEPBB,2013,63
ECAR,HIB3,2013,65
ECAR,MCV1,2013,96
ECAR,MCV2,2013,93
ECAR,PCV3,2013,25
ECAR,POL3,2013,95
ECAR,RCV1,2013,96
ECAR,ROTAC,2013,1
ECAR,BCG,2014,92
ECAR,DTP1,2014,94
ECAR,DTP3,2014,91
ECAR,HEPB3,2014,91
ECAR,HEPBB,2014,63
ECAR,HIB3,2014,62
ECAR,MCV1,2014,93
ECAR,MCV2,2014,91
ECAR,PCV3,2014,29
ECAR,POL3,2014,92
ECAR,RCV1,2014,93
ECAR,ROTAC,2014,8
ECAR,BCG,2015,93
ECAR,DTP1,2015,95
ECAR,DTP3,2015,92
ECAR,HEPB3,2015,92
ECAR,HEPBB,2015,64
ECAR,HIB3,2015,62
ECAR,IPV1,2015,68
ECAR,MCV1,2015,94
ECAR,MCV2,2015,90
ECAR,PCV3,2015,32
ECAR,POL3,2015,94
ECAR,RCV1,2015,94
ECAR,ROTAC,2015,16
ECAR,BCG,2016,95
ECAR,DTP1,2016,94
ECAR,DTP3,2016,91
ECAR,HEPB3,2016,91
ECAR,HEPBB,2016,62
ECAR,HIB3,2016,63
ECAR,IPV1,2016,72
ECAR,MCV1,2016,93
ECAR,MCV2,2016,88
ECAR,PCV3,2016,45
ECAR,POL3,2016,93
ECAR,RCV1,2016,93
ECAR,ROTAC,2016,14
ECAR,BCG,2017,95
ECAR,DTP1,2017,95
ECAR,DTP3,2017,93
ECAR,HEPB3,2017,94
ECAR,HEPBB,2017,63
ECAR,HIB3,2017,64
ECAR,IPV1,2017,70
ECAR,MCV1,2017,96
ECAR,MCV2,2017,93
ECAR,PCV3,2017,68
ECAR,POL3,2017,93
ECAR,RCV1,2017,96
ECAR,ROTAC,2017,18
ECAR,BCG,2018,96
ECAR,DTP1,2018,97
ECAR,DTP3,2018,95
ECAR,HEPB3,2018,95
ECAR,HEPBB,2018,66
ECAR,HIB3,2018,68
ECAR,IPV1,2018,88
ECAR,MCV1,2018,96
ECAR,MCV2,2018,94
ECAR,PCV3,2018,73
ECAR,POL3,2018,95
ECAR,RCV1,2018,96
ECAR,ROTAC,2018,17
ECAR,BCG,2019,95
ECAR,DTP1,2019,97
ECAR,DTP3,2019,96
ECAR,HEPB3,2019,95
ECAR,HEPBB,2019,68
ECAR,HIB3,2019,71
ECAR,IPV1,2019,96
ECAR,MCV1,2019,97
ECAR,MCV2,2019,94
ECAR,PCV3,2019,77
ECAR,POL3,2019,96
ECAR,RCV1,2019,97
ECAR,ROTAC,2019,14
ECAR,BCG,2020,96
ECAR,DTP1,2020,96
ECAR,DTP3,2020,94
ECAR,HEPB3,2020,94
ECAR,HEPBB,2020,68
ECAR,HIB3,2020,69
ECAR,IPV1,2020,94
ECAR,MCV1,2020,94
ECAR,MCV2,2020,92
ECAR,PCV3,2020,76
ECAR,POL3,2020,94
ECAR,RCV1,2020,94
ECAR,ROTAC,2020,25
ECAR,BCG,2021,96
ECAR,DTP1,2021,96
ECAR,DTP3,2021,94
ECAR,HEPB3,2021,94
ECAR,HEPBB,2021,68
ECAR,HIB3,2021,70
ECAR,IPV1,2021,96
ECAR,IPV2,2021,62
ECAR,MCV1,2021,95
ECAR,MCV2,2021,93
ECAR,PCV3,2021,81
ECAR,POL3,2021,95
ECAR,RCV1,2021,95
ECAR,ROTAC,2021,21
ECAR,BCG,2022,96
ECAR,DTP1,2022,96
ECAR,DTP3,2022,95
ECAR,HEPB3,2022,95
ECAR,HEPBB,2022,69
ECAR,HIB3,2022,93
ECAR,IPV1,2022,96
ECAR,IPV2,2022,85
ECAR,MCV1,2022,95
ECAR,MCV2,2022,93
ECAR,PCV3,2022,83
ECAR,POL3,2022,95
ECAR,RCV1,2022,95
ECAR,ROTAC,2022,24
ECAR,BCG,2023,96
ECAR,DTP1,2023,97
ECAR,DTP3,2023,96
ECAR,HEPB3,2023,95
ECAR,HEPBB,2023,69
ECAR,HIB3,2023,95
ECAR,IPV1,2023,97
ECAR,IPV2,2023,89
ECAR,MCV1,2023,96
ECAR,MCV2,2023,94
ECAR,PCV3,2023,85
ECAR,POL3,2023,96
ECAR,RCV1,2023,96
ECAR,ROTAC,2023,29
ESAR,BCG,2000,76
ESAR,DTP1,2000,73
ESAR,DTP3,2000,59
ESAR,HEPB3,2000,9
ESAR,HEPBB,2000,0
ESAR,HIB3,2000,6
ESAR,MCV1,2000,59
ESAR,MCV2,2000,6
ESAR,POL3,2000,63
ESAR,RCV1,2000,0
ESAR,YFV,2000,2
ESAR,BCG,2001,78
ESAR,DTP1,2001,75
ESAR,DTP3,2001,62
ESAR,HEPB3,2001,10
ESAR,HEPBB,2001,0
ESAR,HIB3,2001,6
ESAR,MCV1,2001,62
ESAR,MCV2,2001,5
ESAR,POL3,2001,63
ESAR,RCV1,2001,0
ESAR,YFV,2001,2
ESAR,BCG,2002,77
ESAR,DTP1,2002,77
ESAR,DTP3,2002,63
ESAR,HEPB3,2002,42
ESAR,HEPBB,2002,0
ESAR,HIB3,2002,21
ESAR,MCV1,2002,63
ESAR,MCV2,2002,4
ESAR,POL3,2002,67
ESAR,RCV1,2002,0
ESAR,YFV,2002,2
ESAR,BCG,2003,78
ESAR,DTP1,2003,79
ESAR,DTP3,2003,65
ESAR,HEPB3,2003,45
ESAR,HEPBB,2003,0
ESAR,HIB3,2003,22
ESAR,MCV1,2003,63
ESAR,MCV2,2003,5
ESAR,POL3,2003,67
ESAR,RCV1,2003,0
ESAR,YFV,2003,3
ESAR,BCG,2004,78
ESAR,DTP1,2004,80
ESAR,DTP3,2004,66
ESAR,HEPB3,2004,49
ESAR,HEPBB,2004,0
ESAR,HIB3,2004,29
ESAR,MCV1,2004,64
ESAR,MCV2,2004,5
ESAR,POL3,2004,67
ESAR,RCV1,2004,0
ESAR,YFV,2004,4
ESAR,BCG,2005,79
ESAR,DTP1,2005,80
ESAR,DTP3,2005,69
ESAR,HEPB3,2005,53
ESAR,HEPBB,2005,0
ESAR,HIB3,2005,31
ESAR,MCV1,2005,63
ESAR,MCV2,2005,4
ESAR,POL3,2005,67
ESAR,RCV1,2005,0
ESAR,YFV,2005,2
ESAR,BCG,2006,80
ESAR,DTP1,2006,82
ESAR,DTP3,2006,70
ESAR,HEPB3,2006,55
ESAR,HEPBB,2006,0
ESAR,HIB3,2006,32
ESAR,MCV1,2006,66
ESAR,MCV2,2006,5
ESAR,POL3,2006,69
ESAR,RCV1,2006,0
ESAR,ROTAC,2006,0
ESAR,YFV,2006,2
ESAR,BCG,2007,82
ESAR,DTP1,2007,83
ESAR,DTP3,2007,71
ESAR,HEPB3,2007,68
